,0,89,98,27,39,21,80,78,67,60,26,81,41,44,43,72,73,63,52,55,92,70,10,93,85,13,94,42,49,25,22,45,28,34,90,1,96,91,56,16,61,38,77,14,12,7,57,6,18,86,65,75,31,99,29,83,84,71,95,11,47,48,76,88,30,58,15,69,19,62,23,53,50,33,68,54,51,79,97,40,46,20,24,5,9,66,37,87,4,35,8,64,82,17,74,3,2,32,36,59
0,0,23.240,37.274,14.499,23.440,17.405,37.567,15.042,37.354,35.156,27.093,34.634,31.755,35.136,22.418,23.138,19.232,17.535,27.630,30.781,29.330,28.513,15.974,38.737,29.506,18.154,23.983,20.540,29.623,33.726,24.111,33.567,39.775,39.440,9.320,30.667,30.121,7.033,13.025,27.500,31.567,25.239,38.485,33.168,29.955,36.250,24.085,29.024,33.667,33.928,25.698,16.669,27.379,23.625,26.200,28.408,12.162,19.907,13.948,28.735,25.786,38.347,9.149,31.317,39.301,28.194,19.065,37.023,22.729,10.995,35.341,19.158,22.215,31.881,35.672,31.013,21.398,12.069,28.231,22.729,35.154,31.564,14.587,13.822,29.108,33.426,20.284,12.852,36.236,21.233,23.006,24.611,10.452,27.263,32.498,38.614,17.179,33.414,31.347,38.616
89,23.240,0,48.370,23.153,24.233,12.109,37.275,29.269,31.332,42.615,22.706,41.467,28.851,30.914,19.850,31.701,38.131,32.623,39.451,35.137,26.233,12.729,37.615,41.934,42.999,22.681,37.817,14.051,44.622,36.266,7.808,31.355,44.220,45.413,21.872,39.105,46.718,29.367,30.767,35.972,22.051,33.654,28.487,40.907,23.478,37.102,42.254,39.886,41.126,45.921,29.345,8.531,43.036,18.368,33.177,23.719,27.769,22.137,17.531,14.754,24.130,35.994,29.725,46.090,32.899,46.547,41.149,35.178,33.839,15.835,38.676,15.684,40.895,42.901,45.935,17.663,35.687,14.623,15.442,40.781,25.828,35.673,18.251,35.125,30.334,25.006,7.624,35.822,44.806,40.079,26.742,44.552,31.604,44.480,22.079,41.423,35.174,17.074,40.523,36.901
98,37.274,48.370,0,41.339,33.552,45.502,26.866,36.018,32.540,17.291,41.559,17.765,32.655,33.315,30.003,32.671,28.416,42.759,28.480,29.731,37.132,42.280,31.250,20.685,16.212,43.890,29.814,39.731,9.985,26.373,44.385,35.065,15.386,13.211,44.009,25.917,15.694,40.173,38.021,22.357,38.467,26.656,36.091,9.685,34.599,19.284,22.376,20.058,9.177,11.975,34.956,47.007,16.199,45.933,38.817,30.277,40.008,41.240,43.285,47.261,36.007,26.550,39.562,10.043,30.576,18.227,31.852,23.788,37.489,45.715,31.501,45.374,19.449,20.594,6.306,40.154,30.176,42.910,42.361,28.802,34.688,18.258,48.887,36.713,39.563,34.058,43.847,35.378,22.272,22.371,41.155,22.481,30.622,25.203,40.461,16.358,34.217,43.251,10.398,24.245
27,14.499,23.153,41.339,0,15.636,11.586,44.504,7.869,42.042,43.401,36.547,32.159,25.160,42.061,26.569,14.229,19.651,31.871,40.153,41.398,20.191,29.921,20.378,45.564,29.306,30.335,37.093,14.572,35.335,28.139,20.870,42.472,39.348,45.083,21.182,24.699,38.647,17.969,9.889,37.533,36.895,19.458,39.958,35.058,24.795,37.375,25.879,26.237,37.951,41.988,15.553,20.374,29.146,32.931,39.435,26.243,26.499,7.161,5.869,34.405,35.154,35.704,12.569,34.830,39.710,36.382,30.081,36.895,36.688,12.805,45.873,28.243,28.555,42.269,37.610,27.990,16.218,20.824,22.475,35.417,33.548,30.497,23.206,27.157,40.645,36.492,24.587,20.184,46.280,31.205,35.409,29.613,22.567,39.000,38.042,42.376,31.195,32.471,37.539,42.240
39,23.440,24.233,33.552,15.636,0,17.367,36.408,16.204,32.761,37.099,35.669,20.487,9.552,35.102,19.977,10.282,23.183,39.443,40.036,38.106,6.268,24.260,26.956,37.148,23.503,35.375,38.596,10.331,31.260,13.958,17.721,37.787,26.670,36.046,30.515,15.623,36.868,29.088,21.179,33.975,30.853,10.984,28.838,25.000,10.673,24.749,25.956,18.439,28.917,37.026,6.379,25.840,25.565,35.085,41.295,13.178,33.812,10.535,16.530,33.171,32.845,20.770,24.852,29.922,26.685,36.028,36.112,23.295,40.024,23.454,41.978,32.034,28.718,39.073,28.742,17.768,16.973,26.818,13.979,38.388,20.700,17.898,32.241,34.996,40.250,27.133,25.304,29.277,41.834,32.634,37.841,31.049,28.074,40.174,32.512,31.502,36.428,23.957,30.482,31.099
21,17.405,12.109,45.502,11.586,17.367,0,41.644,18.677,37.181,43.836,30.277,36.567,25.038,37.216,22.579,22.124,29.314,32.109,40.598,39.097,20.369,21.177,29.388,44.527,36.428,26.208,38.092,8.997,40.636,31.172,11.088,37.784,41.784,45.957,19.852,31.394,43.532,22.889,20.430,37.399,30.002,25.851,34.211,38.155,21.908,37.151,34.585,32.960,39.948,44.803,20.576,11.763,36.539,25.912,36.937,23.497,26.623,11.168,6.016,25.336,30.163,35.122,20.694,41.054,36.077,42.280,36.087,35.699,35.711,9.458,43.281,21.561,35.282,43.479,42.169,21.080,26.024,15.761,15.522,38.727,28.765,32.644,18.660,31.138,36.276,30.836,15.745,28.131,46.551,36.220,31.429,37.756,27.010,42.567,30.716,42.310,33.416,24.094,39.570,39.904
80,37.567,37.275,26.866,44.504,36.408,41.644,0,43.630,9.858,13.040,22.829,32.781,34.496,8.531,19.135,42.112,42.177,38.446,23.201,13.298,39.166,27.014,42.669,7.380,36.026,32.953,26.515,36.078,29.198,35.158,35.574,11.785,27.309,15.151,39.435,40.184,30.059,42.803,45.526,15.000,17.569,37.688,18.580,24.078,31.521,18.734,39.853,36.517,18.693,21.792,41.644,37.902,35.822,30.214,26.339,25.604,36.017,43.675,42.785,28.923,17.997,27.049,44.899,32.618,18.973,33.680,40.024,20.574,29.342,42.251,12.778,32.608,34.174,19.145,28.768,30.143,42.883,34.906,35.713,32.149,24.527,26.097,41.378,39.352,21.740,15.726,31.329,43.623,16.134,31.693,27.499,39.616,34.515,30.763,18.927,14.114,33.856,28.737,17.821,10.276
78,15.042,29.269,36.018,7.869,16.204,18.677,43.630,0,42.657,40.406,38.853,27.674,25.268,42.674,27.618,10.380,12.064,31.903,37.896,40.557,21.529,33.893,14.026,43.414,22.760,32.657,34.842,19.204,29.534,25.532,26.373,43.087,35.596,41.694,23.738,19.760,33.192,17.197,5.356,35.352,39.175,15.041,41.454,30.773,26.369,35.297,18.466,20.430,34.136,37.537,14.586,25.996,22.311,36.360,39.564,27.006,26.864,11.861,13.141,38.619,36.491,34.498,10.709,28.474,39.903,30.480,25.576,35.642,36.192,18.500,45.016,31.983,22.358,39.021,32.264,31.393,8.956,24.618,26.848,31.900,35.060,27.436,27.521,24.861,41.605,37.960,29.225,15.704,43.424,26.329,36.803,22.617,19.528,34.844,40.596,39.770,29.174,36.296,33.699,41.171
67,37.354,31.332,32.540,42.042,32.761,37.181,9.858,42.657,0,21.775,21.198,33.256,29.935,6.855,15.654,40.417,43.841,40.817,29.825,19.308,34.393,19.497,44.809,16.076,38.488,32.798,32.194,31.050,34.705,32.943,29.151,13.314,28.503,22.221,38.876,39.595,36.847,43.556,45.190,21.642,11.034,36.672,9.315,26.947,25.771,18.411,42.730,37.386,23.454,29.601,38.630,33.975,39.067,27.847,29.838,20.470,37.497,40.047,39.516,23.493,17.508,23.563,44.964,37.264,12.822,39.776,44.263,17.861,33.146,39.525,19.757,30.214,38.379,27.379,32.665,22.417,42.921,32.788,28.865,37.776,17.019,25.696,39.482,42.325,23.746,7.177,26.598,45.575,25.357,36.788,28.636,43.730,37.032,37.520,12.500,17.925,37.729,20.008,23.876,10.179
