Barcelona,0,1528.560321540566,1497.053090768494,1064.555381330905,1970.207867006241,1498.004157888836,1758.093064442079,1477.506734655811,1472.41497448822,2234.704752360953,2390.117917309769,1141.912049325838,504.5709869283492,723.8609467852574,3003.643139179569,1053.092142870556,833.5372914192532,1352.6094044612,857.5503355790587,2810.612603826776,1747.843542853511,2276.50825036851,1346.070429619856,1861.022736402771
Belgrade,1528.560321540566,0,999.0001420325799,1372.057521313485,447.8526570791003,316.2664721055534,1326.831545337206,2143.445450369039,1229.504916955035,808.5012485148038,977.9707811754564,1687.995368580913,2026.644784703103,885.5434282717229,1712.201203847387,773.0224476135388,1445.41133439749,737.7465720243413,722.7155303146599,1797.730811667641,328.9667158887548,1620.422051160693,488.81524014274,827.1131387212191
Berlin,1497.053090768494,999.0001420325799,0,651.7433008822986,1292.476626270001,689.0411434128463,353.7324690957642,1313.578542239355,254.4620599795358,1733.090793124649,1203.732637971913,929.6202018488638,1866.554442896359,841.1044418047147,1606.762140470041,502.3813394051299,877.1748456523519,280.4185358007626,1181.537670005264,1318.376271416021,1317.883344619107,809.4767939361982,523.8262711630649,516.2482652362916
Brussels,1064.555381330905,1372.057521313485,651.7433008822986,0,1768.552736711672,1131.089767494622,767.795743696717,771.8914716444998,490.3591200551313,2176.97833108525,1835.526514931876,318.1865551318477,1315.41155108114,697.5323022409143,2252.752130956359,601.7818565086294,261.7720824931973,720.7226070120896,1172.107942102019,1904.672165655538,1696.9838699445,1282.492277830799,914.4761476513369,1159.926035695553
Bucharest,1970.207867006241,447.8526570791003,1292.476626270001,1768.552736711672,0,638.9529019860943,1570.775586211402,2531.850275097585,1543.117746443321,444.7891155976773,746.7228846377864,2086.738868442554,2470.719338703905,1331.98906309527,1501.106909506054,1185.798724419677,1869.217980105116,1075.829740268766,1140.274435498815,1742.460544738345,298.4873836479769,1742.408705526056,854.4499375375073,945.8404440104537
Budapest,1498.004157888836,316.2664721055534,689.0411434128463,1131.089767494622,638.9529019860943,0,1011.088181996426,1892.897415492529,927.7610044370454,1062.860727411774,894.4707893202348,1449.144316907925,1973.525464484082,788.6762006341708,1564.161814745564,563.9075802632767,1247.182442540846,443.1638585487618,811.5692487428171,1555.234616678461,628.8625899362891,1315.829851402136,216.9009891664843,545.5292185863243
Copenhagen,1758.093064442079,1326.831545337206,353.7324690957642,767.795743696717,1570.775586211402,1011.088181996426,0,1238.900710890442,288.172900388327,2015.559407738181,1327.114048372148,956.4870299394311,2072.822118111216,1158.373174374149,1559.684747631482,838.2376976274867,1027.344634657901,632.831573051332,1529.366957347212,1144.151336386037,1634.714593431761,521.6286745768368,868.8072721779043,668.2008110234124
Dublin,1477.506734655811,2143.445450369039,1313.578542239355,771.8914716444998,2531.850275097585,1892.897415492529,1238.900710890442,0,1072.095817563856,2946.606772609591,2512.397041474336,462.1001961404055,1462.546932826938,1414.336780964622,2795.372281343066,1373.554464129663,777.5614912270383,1463.582480946318,1883.940821848992,2320.48820373272,2468.840463610162,1631.226510880615,1678.103744733324,1822.724603712081
Hamburg,1472.41497448822,1229.504916955035,254.4620599795358,490.3591200551313,1543.117746443321,927.7610044370454,288.172900388327,1072.095817563856,0,1981.681804287495,1440.358111761633,720.29003938904,1785.900740012948,900.7644079800389,1779.917938493258,610.5811818302061,745.5467449487143,492.182692483149,1307.577635172406,1414.451954619709,1553.86276954761,809.798238362001,742.839577432367,750.8309353354339
Istanbul,2234.704752360953,808.5012485148038,1733.090793124649,2176.97833108525,444.7891155976773,1062.860727411774,2015.559407738181,2946.606772609591,1981.681804287495,0,1056.5773922443,2494.089778023681,2739.109721322468,1669.848275517265,1762.241933077816,1580.742248919241,2252.9790698971,1505.539227012825,1377.477909282956,2104.093016441138,502.6613714037294,2172.009925689636,1271.938419135344,1385.241303654054
Kiev,2390.117917309769,977.9707811754564,1203.732637971913,1835.526514931876,746.7228846377864,894.4707893202348,1327.114048372148,2512.397041474336,1440.358111761633,1056.5773922443,0,2130.288808456993,2856.906570169566,1672.584078760706,757.2618364273453,1390.992370335136,2021.83907536033,1138.06451357619,1675.61289048038,1053.984468795655,1024.230909834102,1268.245460654076,1052.621818168356,689.7446177301346
London,1141.912049325838,1687.995368580913,929.6202018488638,318.1865551318477,2086.738868442554,1449.144316907925,956.4870299394311,462.1001961404055,720.29003938904,2494.089778023681,2130.288808456993,0,1268.361671463679,958.8444470879526,2498.962095554095,915.6560619603274,341.3086815090497,1033.662940198757,1432.442672497105,2096.758136142285,2011.497287946552,1434.268549416516,1232.607473507843,1445.637447511583
Madrid,504.5709869283492,2026.644784703103,1866.554442896359,1315.41155108114,2470.719338703905,1973.525464484082,2072.822118111216,1462.546932826938,1785.900740012948,2739.109721322468,2856.906570169566,1268.361671463679,0,1185.639791006849,3433.517487550545,1482.044214681564,1054.153712506159,1771.461945619403,1361.7248081602,3181.893976739292,2252.176413682207,2593.100042273173,1804.700647637002,2286.190787521515
Milan,723.8609467852574,885.5434282717229,841.1044418047147,697.5323022409143,1331.98906309527,788.6762006341708,1158.373174374149,1414.336780964622,900.7644079800389,1669.848275517265,1672.584078760706,958.8444470879526,1185.639791006849,0,2281.239602593867,348.7593208017833,642.0952118320552,646.0692482362429,475.9864864389199,2120.393060624868,1167.249350174558,1649.71205550031,623.2113719314676,1143.022522280169
