,0,89,98,27,39,21,80,78,67,60,26,81,41,44,43,72,73,63,52,55,92,70,10,93,85,13,94,42,49,25,22,45,28,34,90,1,96,91,56,16,61,38,77,14,12,7,57,6,18,86,65,75,31,99,29,83,84,71,95,11,47,48,76,88,30,58,15,69,19,62,23,53,50,33,68,54,51,79,97,40,46,20,24,5,9,66,37,87,4,35,8,64,82,17,74,3,2,32,36,59
0,0,29.306,31.541,32.757,32.017,31.359,31.938,30.896,33.648,33.190,32.382,32.478,32.248,31.070,31.987,32.859,34.127,32.419,33.603,32.463,31.170,33.886,33.429,32.880,31.572,32.484,31.903,33.038,31.193,32.117,30.596,31.437,32.322,33.446,32.381,30.082,32.016,31.624,32.213,31.271,32.072,32.763,31.421,32.246,32.242,31.737,31.661,33.594,32.049,33.167,34.120,32.561,32.993,34.015,33.639,31.767,33.916,33.875,33.100,33.226,34.261,31.709,31.006,32.826,31.868,30.247,31.639,31.803,32.909,33.317,31.387,31.811,33.298,33.403,33.122,33.548,31.515,32.821,32.561,30.724,34.309,32.714,31.265,33.528,34.505,32.536,30.740,33.727,32.005,32.382,32.455,32.040,35.059,33.479,32.295,31.405,32.833,31.381,32.467,34.851
89,29.306,0,30.125,33.368,31.351,32.837,33.232,33.508,32.566,30.788,31.652,30.407,32.462,30.387,31.574,32.697,31.253,30.573,31.511,33.727,31.243,32.054,32.985,32.500,32.105,30.980,31.769,32.178,31.099,32.122,32.720,31.287,32.737,32.213,32.963,30.857,32.854,32.390,30.467,32.425,33.566,32.073,33.158,31.176,31.662,32.522,31.453,34.726,32.431,32.828,33.921,32.571,32.813,32.942,33.624,31.128,32.404,33.172,34.369,34.155,32.075,31.663,31.730,32.190,32.345,30.915,32.522,34.098,32.874,32.431,30.370,30.883,34.084,33.825,32.130,31.553,32.307,32.799,33.611,31.741,32.987,33.056,32.839,33.500,31.692,32.963,33.434,31.713,32.513,32.750,31.805,30.711,32.131,32.000,32.063,31.973,33.534,32.925,31.199,33.067
98,31.541,30.125,0,3.342,55.187,55.706,56.249,55.828,56.765,55.448,55.559,54.851,55.969,54.105,55.305,56.432,56.204,54.924,56.102,56.818,54.672,56.577,56.901,56.327,55.398,55.206,55.376,56.217,54.598,55.699,55.215,54.841,56.171,56.448,56.333,53.851,3.030,55.592,54.752,55.420,56.514,56.011,55.923,55.202,55.492,55.730,55.060,58.000,55.845,56.671,57.813,56.200,56.571,57.179,57.387,54.921,56.805,57.244,4.397,57.476,56.779,55.210,54.870,56.114,55.697,53.977,55.677,56.666,56.563,56.513,54.262,54.797,57.473,57.380,56.232,56.100,55.484,56.472,3.694,54.722,57.356,56.566,55.655,3.375,56.663,56.417,55.699,56.288,55.869,56.210,55.690,54.812,57.207,56.337,55.759,55.229,56.907,55.768,55.331,57.678
27,32.757,33.368,3.342,0,57.734,58.161,58.713,58.233,59.330,58.066,58.109,57.455,58.479,56.652,57.841,58.958,58.842,57.518,58.708,59.283,57.187,59.173,59.439,58.862,57.894,57.787,57.900,58.772,57.121,58.218,57.643,57.366,58.672,59.019,58.828,56.337,0.746,58.078,57.342,57.889,58.968,58.559,58.367,57.765,58.035,58.215,57.587,60.469,58.348,59.205,60.341,58.719,59.098,59.743,59.907,57.467,59.387,59.793,1.060,59.955,59.389,57.730,57.358,58.660,58.196,56.467,58.158,59.084,59.083,59.069,56.823,57.354,59.959,59.881,58.792,58.702,57.969,58.992,0.497,57.198,59.931,59.070,58.106,0.883,59.299,58.918,58.100,58.891,58.366,58.713,58.236,57.385,59.848,58.918,58.288,57.724,59.396,58.220,57.902,60.273
39,32.017,31.351,55.187,57.734,0,2.378,2.375,3.620,1.661,1.919,0.382,1.540,1.222,1.082,0.294,1.347,2.679,1.292,1.847,2.655,0.959,1.933,1.724,1.172,1.310,0.910,0.601,1.059,0.863,0.878,3.015,0.663,1.518,1.429,1.763,2.056,57.033,1.597,1.226,1.981,2.695,0.825,2.710,0.438,0.316,1.656,0.514,3.423,1.302,1.517,2.663,1.237,1.469,2.060,2.297,0.268,1.901,2.060,58.483,2.863,2.366,0.669,1.536,0.927,1.331,1.889,1.742,3.561,1.523,1.357,0.986,0.474,2.767,2.476,1.117,1.753,1.602,1.449,57.761,1.876,2.316,1.745,2.470,58.230,2.857,1.695,3.685,1.885,1.434,1.505,0.503,0.795,3.307,1.485,0.731,1.334,2.260,2.464,0.674,2.834
21,31.359,32.837,55.706,58.161,2.378,0,0.582,1.252,3.063,4.243,2.417,3.917,1.419,2.786,2.091,1.968,4.856,3.670,3.972,1.140,1.820,3.800,2.475,2.159,1.071,3.273,1.782,2.643,2.008,1.615,0.861,1.948,1.268,3.112,1.180,1.990,57.450,0.786,3.592,0.452,0.808,2.412,0.358,2.807,2.254,0.761,1.929,2.332,1.214,2.255,2.859,1.702,2.048,3.243,2.395,2.409,3.533,2.915,58.879,1.882,4.251,1.722,1.159,2.375,1.096,1.922,0.652,1.318,1.898,2.760,3.013,2.738,1.941,2.067,2.790,3.864,0.777,1.842,58.168,1.096,3.585,1.538,0.118,58.686,4.902,1.373,1.336,3.924,1.080,1.332,2.332,3.146,5.213,3.349,1.877,1.092,1.491,0.096,3.009,4.220
80,31.938,33.232,56.249,58.713,2.375,0.582,0,1.521,2.726,4.126,2.320,3.894,1.224,2.991,2.080,1.638,4.644,3.645,3.764,0.570,2.043,3.522,2.071,1.869,1.184,3.216,1.781,2.396,2.215,1.517,1.384,2.092,0.979,2.833,0.798,2.454,58.003,0.872,3.599,0.842,0.344,2.208,0.593,2.772,2.182,0.760,2.009,1.763,1.081,1.885,2.331,1.428,1.685,2.848,1.884,2.469,3.212,2.484,59.433,1.300,3.958,1.783,1.504,2.145,1.049,2.360,0.725,1.194,1.524,2.456,3.155,2.795,1.360,1.513,2.543,3.655,0.936,1.489,58.721,1.552,3.185,1.116,0.673,59.236,4.639,0.985,1.646,3.689,0.943,1.030,2.206,3.169,4.899,3.096,1.746,1.284,0.944,0.558,2.939,3.813
78,30.896,33.508,55.828,58.233,3.620,1.252,1.521,0,4.239,5.495,3.669,5.156,2.648,3.910,3.337,3.144,6.098,4.910,5.213,1.805,2.968,5.015,3.592,3.360,2.310,4.521,3.030,3.867,3.160,2.865,0.811,3.143,2.457,4.324,2.309,2.776,57.518,2.037,4.823,1.644,1.422,3.649,0.969,4.053,3.506,2.010,3.154,2.753,2.455,3.403,3.769,2.906,3.201,4.369,3.356,3.632,4.721,4.001,58.935,2.520,5.458,2.957,2.255,3.604,2.347,2.774,1.904,0.909,3.041,3.957,4.181,3.958,2.643,2.923,4.015,5.104,2.019,3.001,58.230,2.045,4.705,2.637,1.152,58.773,6.125,2.501,0.158,5.157,2.317,2.515,3.583,4.375,6.409,4.573,3.125,2.303,2.400,1.175,4.259,5.333
67,33.648,32.566,56.765,59.330,1.661,3.063,2.726,4.239,0,1.928,1.282,2.163,1.675,2.713,1.661,1.098,2.068,1.995,1.289,2.651,2.483,0.859,0.730,0.915,2.285,1.611,1.770,0.611,2.455,1.638,3.897,2.211,1.796,0.354,1.930,3.590,58.631,2.394,2.114,2.851,2.915,0.887,3.276,1.565,1.409,2.348,1.988,2.797,1.899,0.847,1.433,1.365,1.041,0.414,1.349,1.925,0.489,0.633,60.085,2.382,1.251,1.963,2.785,0.835,2.065,3.422,2.469,3.812,1.204,0.341,2.508,1.983,2.226,1.802,0.547,1.198,2.474,1.238,59.361,3.121,0.661,1.622,3.181,59.821,1.958,1.742,4.354,1.134,2.012,1.734,1.194,1.963,2.174,0.607,1.406,2.420,2.018,3.113,1.442,1.241
