100,2
0,0,0
89,29.30616900927176,0
98,16.14194645674552,27.09696089209195
27,13.96431116160309,29.6316077657276
39,15.37225117542563,-28.08483923399999
21,13.03490954000656,-28.5219945179829
80,13.21436793316382,-29.07611726360608
78,11.78330241290658,-28.56065696453761
67,15.87569910119623,-29.66753722586824
60,17.2743666645694,-28.33994450132206
26,15.45082531451805,-28.4582261060005
81,16.87547307338379,-27.74959953854287
41,14.41617865052021,-28.84587643175858
44,15.36995821110205,-27.00256674075591
43,15.1005028961647,-28.19833802341765
72,14.83428573903536,-29.31952817854769
73,17.85876805782489,-29.08099419649909
63,16.63779297955112,-27.82433204534476
52,16.97771652932823,-28.99892238428482
55,13.2250379050698,-29.64647779095296
92,14.5750326787805,-27.55258017704477
70,16.71337348273117,-29.47714275208402
10,15.1566326140913,-29.7954493136362
93,15.07779515160109,-29.21963648586947
85,14.07403341833964,-28.26203869750835
13,16.28153549681101,-28.10869048650406
94,14.79832368614247,-28.2626977318188
42,15.60977205363383,-29.1172046466276
49,14.75354325102026,-27.48353415302106
25,14.64828165920239,-28.5824081811291
22,12.35892306105965,-27.98875539874555
45,14.81372634760453,-27.72784527687443
28,14.19264022084938,-29.03974028054536
34,16.03433651977281,-29.35138830397432
90,14.00371668743742,-29.19590894180188
1,13.8479293513801,-26.70559203011956
96,13.72549963363485,28.92435110433923
91,13.81704319223342,-28.44622318382454
56,16.51998890905293,-27.65385516424008
16,13.39898131604195,-28.25466274249895
61,12.98090087720591,-29.32809604144386
38,15.4159366192513,-28.90914896968132
77,12.73855395025845,-28.7225702063091
14,15.81013683001052,-28.10370679138867
12,15.28516971489109,-28.38852415654919
7,13.79295041505136,-28.58325404582085
57,14.87707707077181,-27.94809896630387
6,13.33425463684348,-30.83460301803509
18,14.23296330093624,-28.71535613002566
86,15.03552473407886,-29.56353464947829
65,14.88414312570155,-30.70244297142543
75,14.64227729200089,-29.08307864900405
31,14.85563407698436,-29.45960797720739
99,15.87877565480414,-30.08117719944483
29,14.67004717893979,-30.27165759861326
83,15.33893078477032,-27.8185737481278
84,16.36326811765413,-29.70739535048073
71,15.45819877912652,-30.14273339471739
95,13.19168475680633,30.3572901010127
11,13.58534467176655,-30.32173069185373
47,17.12669062412099,-29.67299995392521
48,14.70285815466632,-28.0939700306625
76,13.87811094897205,-27.72657718666373
88,15.35861715182214,-29.01168401151085
30,14.13016678737466,-28.56403783712965
58,13.9559964617212,-26.83526735026923
15,13.68676604823717,-28.52580326898478
69,12.07172308629195,-29.4223219805624
19,14.69202357577952,-29.44708407039207
62,15.6472779794221,-29.41384008990823
23,15.72422925201207,-27.16388143160268
53,15.64574185233615,-27.69748002779416
50,13.74949386501243,-30.3265177436511
33,14.1699022778658,-30.24892962462861
68,15.75718756873011,-29.1333587305662
54,16.86901122571136,-28.99807582007509
51,13.78984171804045,-28.33750213747485
79,14.67720526227488,-29.35613083648883
97,13.46758287905636,29.64477782672267
40,13.56938352720849,-27.56486743468074
46,16.17102344049358,-30.25911016350294
20,14.26996370176166,-29.43797504840313
24,12.931236180345,-28.46511192404022
5,14.68493404456396,30.14116081219843
9,17.82968878786879,-29.5413578348685
66,14.17654920602412,-29.28552510386619
37,11.70290364091921,-28.42470760397298
87,16.90204665929854,-29.18614042190052
4,14.09351098976221,-28.73462775087667
35,14.24422731159202,-29.08070424346178
8,15.36603071037808,-28.5873335274159
64,16.07575401107358,-27.71498699215737
82,18.00998471799625,-30.07948249982936
17,16.30587859671511,-29.23985532093461
74,14.90745323490702,-28.64844484521036
3,14.03863285132349,-28.09208783030804
2,13.85965626798564,-29.76454224632534
32,12.95846836479557,-28.58015797084742
36,16.03013754037154,-28.23346663866787
59,16.71957306480353,-30.57813739472527
