id,v0,v1,v2
\string0,0,0,0
\string1,7.412812556648117,0,0
\string2,8.289753926785689,5.622744599689839,0
\string3,1.292104302760217,3.708808022958598,2.869640311890405
\string4,8.374943049696084,-1.12542974709783,-0.8582556721016128
\string5,4.836915910930948,2.859836695181744,2.027694145445755
\string6,6.716283680389213,-2.402526697310471,-2.953878127690436
\string7,2.988581301726232,-0.0322862933367685,3.049100916374351
\string8,7.707491530830586,-0.8658065642246748,5.714685319028531
\string9,6.193304046090602,3.53627701056163,-0.6344737167535691
