id,v0,v1,v2
\string5,0,0,0
\string1,4.350339412045915,0,0
\string9,1.599293374842213,2.612806671222693,0
\string7,0.3307282176687349,-2.951422136327559,2.000928339354843
\string4,6.05990119460632,0.03615505437434229,0.07057849284360491
\string3,-3.049462523146224,-0.6117095487798557,2.078919129706157
\string6,6.894097025384799,0.4690646710608564,2.87957610403737
\string2,1.173295119425988,3.855604779228881,-2.724882446844006
\string0,-0.03889029888829607,-1.161580394014405,5.859623156218641
\string8,2.43037289704889,-4.718615199676044,-2.746358348554751
