Runtime,Nodes,Flips,Ratio,Cumulative Absolute,RMS Absolute,Cumulative Relative,RMS Relative,Sammon's Stress
9.10163e-05,3,0,0.00,4.93038e-32,1.97215e-31,0,0,0
0.000753999,4,1,25.00,2.46519e-31,2.46519e-31,0,0,0
0.000211,5,2,40.00,4.43734e-31,3.57453e-31,0,0,0
0.000306964,6,2,33.33,1.03538e-30,5.05364e-31,0,0,0
0.000411987,7,3,42.86,3.60226e-30,3.88267e-30,0,0,0
0.000532031,8,4,50.00,9.22289e-30,9.20749e-30,0,0,0
0.000664949,9,5,55.56,9.71593e-30,9.454e-30,0,0,0
0.000809014,10,6,60.00,1.79743e-29,1.63689e-29,0,0,0
0.00100899,11,6,54.55,3.0744e-29,3.38347e-29,0,0,0
0.001275,12,7,58.33,3.66605e-29,3.42785e-29,0,0,0
0.001571,13,8,61.54,3.91287e-29,3.5585e-29,0,0,0
0.00213003,14,8,57.14,4.24814e-29,3.57946e-29,0,0,0
0.00192499,15,8,53.33,5.31803e-29,3.73969e-29,0,0,0
0.002262,16,9,56.25,7.6501e-29,4.04291e-29,0,0,0
0.00255299,17,9,52.94,8.35545e-29,4.70112e-29,0,0,0
0.00289303,18,10,55.56,1.01711e-28,5.80922e-29,0,0,0
0.00372601,19,10,52.63,2.13581e-28,1.31912e-28,0,0,0
0.004704,20,11,55.00,5.96894e-28,2.50849e-27,0,0,0
0.00319701,21,11,52.38,6.17799e-28,2.51017e-27,0,0,0
0.00309902,22,12,54.55,6.37779e-28,2.51456e-27,0,0,0
0.00396299,23,13,56.52,7.45792e-28,2.6035e-27,0,0,0
0.00650901,24,13,54.17,7.79959e-28,2.60817e-27,0,0,0
0.006549,25,14,56.00,8.00334e-28,2.61892e-27,0,0,0
0.006239,26,14,53.85,8.18971e-28,2.62159e-27,0,0,0
0.00638598,27,15,55.56,8.61237e-28,3.16596e-27,0,0,0
0.00753301,28,16,57.14,8.70555e-28,3.16948e-27,0,0,0
0.007981,29,17,58.62,8.81168e-28,3.17088e-27,0,0,0
0.00827295,30,17,56.67,9.08089e-28,3.17491e-27,0,0,0
0.00872099,31,17,54.84,9.89158e-28,3.30364e-27,0,0,0
0.009525,32,17,53.12,1.00329e-27,3.3082e-27,0,0,0
0.010631,33,18,54.55,1.04891e-27,3.31516e-27,0,0,0
0.010723,34,18,52.94,1.07045e-27,3.31817e-27,0,0,0
0.011041,35,19,54.29,1.12623e-27,3.33258e-27,0,0,0
0.011709,36,20,55.56,1.1484e-27,3.33501e-27,0,0,0
0.012916,37,21,56.76,1.19799e-27,4.05659e-27,0,0,0
0.0132419,38,22,57.89,1.23198e-27,4.05972e-27,0,0,0
0.013949,39,23,58.97,1.27051e-27,4.06427e-27,0,0,0
0.015687,40,23,57.50,1.47132e-27,4.14774e-27,0,0,0
0.015375,41,24,58.54,1.52216e-27,4.23812e-27,0,0,0
0.0166,42,25,59.52,1.60661e-27,4.3622e-27,0,0,0
0.018506,43,26,60.47,1.66656e-27,4.37031e-27,0,0,0
0.018275,44,27,61.36,1.71653e-27,4.38217e-27,0,0,0
0.019026,45,28,62.22,1.77686e-27,4.40596e-27,0,0,0
0.019762,46,28,60.87,1.88258e-27,4.42537e-27,0,0,0
0.021487,47,28,59.57,1.9771e-27,4.44452e-27,0,0,0
0.024049,48,29,60.42,2.04766e-27,4.56886e-27,0,0,0
0.026837,49,30,61.22,2.11044e-27,4.59159e-27,0,0,0
0.028096,50,31,62.00,2.13269e-27,4.63249e-27,0,0,0
0.0288661,51,31,60.78,2.95037e-27,5.0352e-27,0,0,0
0.028712,52,31,59.62,3.26265e-27,5.19241e-27,0,0,0
0.026302,53,32,60.38,3.3457e-27,5.20836e-27,0,0,0
0.032444,54,33,61.11,3.42695e-27,5.33954e-27,0,0,0
0.033561,55,33,60.00,3.58014e-27,5.43192e-27,0,0,0
0.035143,56,33,58.93,3.67503e-27,5.46354e-27,0,0,0
0.036257,57,34,59.65,3.73712e-27,5.50521e-27,0,0,0
0.039409,58,35,60.34,3.83296e-27,5.54888e-27,0,0,0
0.033268,59,35,59.32,3.96476e-27,5.56999e-27,0,0,0
0.037072,60,36,60.00,4.05849e-27,5.58543e-27,0,0,0
0.042098,61,37,60.66,4.17861e-27,5.62977e-27,0,0,0
0.043048,62,37,59.68,4.2955e-27,5.66564e-27,0,0,0
0.044274,63,38,60.32,4.37606e-27,5.6995e-27,0,0,0
0.04423,64,38,59.38,4.49343e-27,5.73768e-27,0,0,0
0.044505,65,38,58.46,4.5244e-27,5.76348e-27,0,0,0
0.048268,66,38,57.58,4.62165e-27,5.79595e-27,0,0,0
0.050597,67,38,56.72,4.71008e-27,5.81898e-27,0,0,0
0.052552,68,38,55.88,4.78252e-27,5.84979e-27,0,0,0
0.054546,69,39,56.52,4.83259e-27,6.40336e-27,0,0,0
0.0538,70,40,57.14,4.9053e-27,6.42352e-27,0,0,0
0.056712,71,41,57.75,5.01073e-27,6.54248e-27,0,0,0
0.059303,72,42,58.33,5.10522e-27,6.55992e-27,0,0,0
0.060205,73,42,57.53,5.18026e-27,8.3985e-27,0,0,0
0.062993,74,43,58.11,5.27685e-27,8.46386e-27,0,0,0
0.056013,75,43,57.33,5.44171e-27,8.66436e-27,0,0,0
0.065566,76,43,56.58,5.54615e-27,8.72322e-27,0,0,0
0.067597,77,44,57.14,6.32859e-27,9.02781e-27,0,0,0
0.071372,78,44,56.41,6.47062e-27,9.24439e-27,0,0,0
0.074183,79,45,56.96,6.5759e-27,9.28054e-27,0,0,0
