Runtime,Nodes,Flips,Ratio,Cumulative Absolute,RMS Absolute,Cumulative Relative,RMS Relative,Sammon's Stress
0.000433981,6,0,0.00,3.02923e-28,2.09541e-31,0,0,0
0.000777006,7,1,14.29,8.58281e-28,5.05364e-31,0,0,0
0.000696003,8,2,25.00,2.62533e-27,1.78726e-30,0,0,0
0.000880957,9,2,22.22,3.83702e-27,2.40356e-30,0,0,0
0.00104702,10,2,20.00,4.59433e-27,2.74869e-30,0,0,0
0.00130397,11,2,18.18,5.16231e-27,3.35266e-30,0,0,0
0.001535,12,2,16.67,6.4371e-27,4.11687e-30,0,0,0
0.00180405,13,3,23.08,7.54782e-27,4.77014e-30,0,0,0
0.00211596,14,4,28.57,1.06402e-26,6.77927e-30,0,0,0
0.00244701,15,5,33.33,1.49189e-26,9.0226e-30,0,0,0
0.00278002,16,5,31.25,1.69132e-26,1.0095e-29,0,0,0
0.00354099,17,6,35.29,1.99834e-26,1.20178e-29,0,0,0
0.00420403,18,6,33.33,2.18262e-26,1.44953e-29,0,0,0
0.004062,19,7,36.84,2.2634e-26,1.48774e-29,0,0,0
0.00458199,20,7,35.00,2.714e-26,1.7885e-29,0,0,0
0.00538903,21,7,33.33,3.1545e-26,2.04488e-29,0,0,0
0.00574499,22,8,36.36,3.31606e-26,2.15704e-29,0,0,0
0.00605601,23,9,39.13,3.72121e-26,2.53298e-29,0,0,0
0.00657898,24,9,37.50,3.82598e-26,2.64145e-29,0,0,0
0.00744098,25,9,36.00,4.1898e-26,3.0556e-29,0,0,0
0.00786602,26,9,34.62,4.53563e-26,3.22324e-29,0,0,0
0.00880301,27,9,33.33,4.82972e-26,3.48208e-29,0,0,0
0.00912803,28,9,32.14,1.16768e-22,1.75017e-25,0,0,0
0.00970602,29,9,31.03,1.2271e-22,1.79295e-25,0,0,0
0.01096,30,9,30.00,1.32137e-22,2.00874e-25,0,0,0
0.011582,31,10,32.26,1.39373e-22,2.13651e-25,0,0,0
0.0118369,32,10,31.25,1.4535e-22,2.17421e-25,0,0,0
0.01438,33,10,30.30,1.53594e-22,2.25019e-25,0,0,0
0.015662,34,10,29.41,1.55098e-22,2.26539e-25,0,0,0
0.014406,35,10,28.57,1.58948e-22,2.32714e-25,0,0,0
0.015576,36,10,27.78,1.63156e-22,2.34216e-25,0,0,0
0.016473,37,10,27.03,1.67466e-22,2.37487e-25,0,0,0
0.016897,38,10,26.32,1.70006e-22,2.39683e-25,0,0,0
0.021299,39,11,28.21,1.71293e-22,2.40099e-25,0,0,0
0.023097,40,12,30.00,1.71869e-22,2.40564e-25,0,0,0
0.024997,41,13,31.71,1.75558e-22,2.46406e-25,0,0,0
0.024406,42,14,33.33,1.79241e-22,2.48986e-25,0,0,0
0.027212,43,14,32.56,1.79517e-22,2.49156e-25,0,0,0
0.027004,44,14,31.82,1.88903e-22,2.54814e-25,0,0,0
0.027791,45,14,31.11,1.95098e-22,2.58342e-25,0,0,0
0.031609,46,15,32.61,1.95874e-22,2.58622e-25,0,0,0
0.032793,47,15,31.91,1.97802e-22,2.6033e-25,0,0,0
0.03451,48,15,31.25,2.04418e-22,2.6537e-25,0,0,0
0.035856,49,15,30.61,2.0874e-22,2.67457e-25,0,0,0
0.037424,50,15,30.00,2.2298e-22,2.79853e-25,0,0,0
0.038916,51,16,31.37,2.38844e-22,3.18926e-25,0,0,0
0.040209,52,16,30.77,2.38965e-22,3.19184e-25,0,0,0
0.041807,53,17,32.08,2.44046e-22,3.21929e-25,0,0,0
0.04378,54,17,31.48,2.46836e-22,3.30508e-25,0,0,0
0.045899,55,18,32.73,2.48179e-22,3.31592e-25,0,0,0
0.044808,56,18,32.14,2.48609e-22,3.31895e-25,0,0,0
0.050156,57,18,31.58,2.50721e-22,3.34848e-25,0,0,0
0.050005,58,19,32.76,2.58867e-22,3.41544e-25,0,0,0
0.049644,59,20,33.90,2.67361e-22,3.65231e-25,0,0,0
0.054624,60,20,33.33,2.73058e-22,3.67901e-25,0,0,0
0.055944,61,20,32.79,2.73408e-22,3.68294e-25,0,0,0
0.05855,62,21,33.87,2.79492e-22,3.79542e-25,0,0,0
0.060151,63,21,33.33,2.90581e-22,3.82978e-25,0,0,0
0.062296,64,21,32.81,2.92133e-22,3.8378e-25,0,0,0
0.064362,65,21,32.31,2.94503e-22,3.85122e-25,0,0,0
0.065871,66,22,33.33,2.96705e-22,3.87875e-25,0,0,0
0.068388,67,23,34.33,3.08317e-22,3.94192e-25,0,0,0
0.070627,68,24,35.29,3.08561e-22,3.94432e-25,0,0,0
0.069282,69,24,34.78,3.12678e-22,3.98189e-25,0,0,0
0.074695,70,25,35.71,3.18433e-22,4.03525e-25,0,0,0
0.076117,71,25,35.21,3.35696e-22,4.12513e-25,0,0,0
0.078823,72,25,34.72,3.38288e-22,4.14359e-25,0,0,0
0.08107,73,25,34.25,3.50268e-22,4.20381e-25,0,0,0
0.084061,74,26,35.14,3.59824e-22,4.33009e-25,0,0,0
0.08605,75,27,36.00,3.5992e-22,4.33149e-25,0,0,0
0.088352,76,27,35.53,3.62367e-22,4.34302e-25,0,0,0
0.090245,77,28,36.36,3.64623e-22,4.40574e-25,0,0,0
0.091569,78,29,37.18,3.64813e-22,4.40636e-25,0,0,0
0.118045,79,30,37.97,3.71434e-22,4.47443e-25,0,0,0
0.098607,80,30,37.50,3.71955e-22,4.47728e-25,0,0,0
0.098349,81,31,38.27,3.72535e-22,4.48316e-25,0,0,0
0.104884,82,31,37.80,3.76178e-22,4.5507e-25,0,0,0
0.10788,83,31,37.35,3.82156e-22,4.66483e-25,0,0,0
0.109392,84,31,36.90,3.8638e-22,4.69877e-25,0,0,0
0.114853,85,32,37.65,3.86684e-22,4.70018e-25,0,0,0
0.116791,86,33,38.37,3.92801e-22,4.73084e-25,0,0,0
0.140016,87,33,37.93,3.99484e-22,4.81973e-25,0,0,0
0.119507,88,33,37.50,3.99535e-22,4.82021e-25,0,0,0
0.125025,89,33,37.08,4.05447e-22,4.87008e-25,0,0,0
0.125152,90,33,36.67,4.2452e-22,5.05847e-25,0,0,0
0.126147,91,34,37.36,4.29059e-22,5.09204e-25,0,0,0
0.133536,92,35,38.04,4.3333e-22,5.2839e-25,0,0,0
0.135328,93,36,38.71,4.42502e-22,5.34345e-25,0,0,0
0.141778,94,36,38.30,4.51568e-22,5.38874e-25,0,0,0
0.144662,95,37,38.95,4.51658e-22,5.38926e-25,0,0,0
0.148393,96,38,39.58,4.52419e-22,5.39818e-25,0,0,0
0.151672,97,38,39.18,4.54735e-22,5.42708e-25,0,0,0
0.155355,98,38,38.78,4.55654e-22,5.43187e-25,0,0,0
0.153003,99,38,38.38,4.71876e-22,5.52796e-25,0,0,0
