24,3
Barcelona,0,0,0
Madrid,504.64,0,0
Paris,-161.9452503765063,815.6688445567175,0
Brussels,-339.8341474120162,1007.109426138874,4.635931947791369
London,-46.71567691819853,1136.938049606344,22.74761993269247
Dublin,308.2302553305327,1438.526830285876,74.5132716598432
Hamburg,-759.5566254161382,1261.045642218747,32.0313997890151
Berlin,-981.6588998097658,1132.425749923017,56.62651820858345
Prague,-1048.679626367311,858.8240397656803,65.28767140376321
Vienna,-1184.354325459733,646.6537931402488,72.72339044523817
Budapest,-1388.210556733514,571.1597751630039,83.54983237939467
Belgrade,-1504.679511235732,275.4324488617984,68.86340478518748
Sofia,-1745.14869798272,50.62113416063335,34.08335069346091
Bucharest,-1952.013968472574,268.0422595472428,86.76341173120633
Istanbul,-2227.927090599238,-83.1924363797079,64.75549322816994
Kiev,-2183.617439362716,986.8581465108626,157.8169801505515
Warsaw,-1500.011431812778,1108.455586591414,102.1521126298258
Copenhagen,-939.8181686945152,1485.664071024983,38.84675717272972
Stockholm,-1267.109653614458,1891.941318881173,50.11036093249843
Saint Petersburg,-1948.402341173906,2033.076058122152,128.7960434231753
Moscow,-2498.307442434211,1685.220979311194,199.7042842123102
Munich,-829.3953004121748,653.1863751682198,49.73230892689586
Milan,-624.4471394459417,370.1317843267714,33.65640104258008
Rome,-855.2605365210842,-45.51863010561559,19.37072747667251
