,\string0,\string1,\string2,\string3,\string4,\string5,\string6,\string7,\string8,\string9
\string0,0,7.413,10.017,4.864,8.494,5.974,7.720,4.270,9.634,7.160
\string1,7.413,0,5.691,7.711,1.711,4.350,3.871,5.373,5.787,3.794
\string2,10.017,5.691,0,7.802,6.803,4.865,8.695,8.329,8.666,3.025
\string3,4.864,7.711,7.802,0,9.351,3.741,10.034,4.112,8.377,6.027
\string4,8.494,1.711,6.803,9.351,0,6.060,2.962,6.744,6.612,5.152
\string5,5.974,4.350,4.865,3.741,6.060,0,7.486,3.581,5.976,3.063
\string6,7.720,3.871,8.695,10.034,2.962,7.486,0,7.453,8.859,6.397
\string7,4.270,5.373,8.329,4.112,6.744,3.581,7.453,0,5.483,6.048
\string8,9.634,5.787,8.666,8.377,6.612,5.976,8.859,5.483,0,7.873
\string9,7.160,3.794,3.025,6.027,5.152,3.063,6.397,6.048,7.873,0
