,\string9,\string4,\string6,\string2,\string1,\string3,\string8,\string7,\string5,\string0
\string9,0,0.667,0.567,0.929,0.796,1.418,1.727,1.817,2.283,3.284
\string4,0.667,0,0.368,1.507,1.463,0.812,1.271,1.155,2.950,3.350
\string6,0.567,0.368,0,1.494,1.300,0.884,1.638,1.341,2.770,3.627
\string2,0.929,1.507,1.494,0,0.616,2.310,2.134,2.643,1.678,2.794
\string1,0.796,1.463,1.300,0.616,0,2.183,2.415,2.608,1.487,3.405
\string3,1.418,0.812,0.884,2.310,2.183,0,1.509,0.528,3.653,3.961
\string8,1.727,1.271,1.638,2.134,2.415,1.509,0,1.328,3.802,2.598
\string7,1.817,1.155,1.341,2.643,2.608,0.528,1.328,0,4.093,3.908
\string5,2.283,2.950,2.770,1.678,1.487,3.653,3.802,4.093,0,4.026
\string0,3.284,3.350,3.627,2.794,3.405,3.961,2.598,3.908,4.026,0
