Runtime,Nodes,Flips,Ratio,Cumulative Absolute,RMS Absolute,Cumulative Relative,RMS Relative
5.50151e-05,3,0,0.00,0,0,0,0
0.00010401,4,1,25.00,0,0,5.94398e-07,0.000222561
0.000172973,5,2,40.00,0.0898473,0.0599491,4.54978e-06,0.000476958
0.000190973,6,2,33.33,0.0898473,0.0499576,4.63543e-06,0.000393083
0.000250995,7,2,28.57,0.0959176,0.0442437,5.63532e-06,0.000366298
0.000337958,8,2,25.00,24.3611,0.616963,0.000405464,0.00269081
0.000431001,9,3,33.33,28.0209,0.588165,0.000430255,0.00244454
0.000540018,10,4,40.00,33.7184,0.580676,0.00236874,0.00513023
0.000633001,11,5,45.45,33.7184,0.527887,0.0085228,0.00880227
