Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,1.09019
0,7,0
0,8,0.879449
0,9,11.126
0,10,13.9236
0,11,0
0,12,3.64267
0,13,9.64035
0,14,0
0,15,0
0,16,2.49112
0,17,7.29884
0,18,1.61542
0,19,4.9257
0,20,0
0,21,4.63985
0,22,0
0,23,2.83991
0,24,0
0,25,8.53889
0,26,0
0,27,7.19875
0,28,4.27928
0,29,10.6775
0,30,3.04086
0,31,6.1129
0,32,5.1731
0,33,0
0,34,0
0,35,0
0,36,2.70067
0,37,0.058077
0,38,9.49034
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,4.34001
0,46,5.04375
0,47,3.93932
0,48,13.4446
0,49,5.31447
0,50,5.43103
0,51,4.1453
0,52,3.49872
0,53,0
0,54,3.44905
0,55,0
0,56,11.0474
0,57,0.160494
0,58,0
0,59,0.773558
0,60,0
0,61,10.5101
0,62,0
0,63,3.44341
0,64,0
0,65,0
0,66,0
0,67,11.4143
0,68,0
0,69,11.6337
0,70,0
0,71,10.0445
0,72,13.686
0,73,6.03965
0,74,0
0,75,8.4079
0,76,5.49129
0,77,10.8256
0,78,0
0,79,0
0,80,2.70875
0,81,0
0,82,2.37307
0,83,4.37821
0,84,0
0,85,4.80072
0,86,1.32913
0,87,2.62801
0,88,0
0,89,0
0,90,15.8117
0,91,0
0,92,3.88271
0,93,0
0,94,0
0,95,1.05226
0,96,0
0,97,0
0,98,0
0,99,5.33446
1,0,0
1,1,0
1,2,13.8366
1,3,0.739909
1,4,7.83204
1,5,1.30671
1,6,4.69128
1,7,0
1,8,0
1,9,0
1,10,3.57115
1,11,0.720009
1,12,0
1,13,4.05492
1,14,2.90169
1,15,0
1,16,10.3334
1,17,0
1,18,0
1,19,0
1,20,13.0387
1,21,2.6334
1,22,1.6452
1,23,3.23005
1,24,0
1,25,0
1,26,1.15667
1,27,0.103343
1,28,0
1,29,6.72109
1,30,0
1,31,0
1,32,0
1,33,7.98713
1,34,0
1,35,0
1,36,0
1,37,14.1821
1,38,0
1,39,0.829091
1,40,8.45089
1,41,4.84172
1,42,10.5963
1,43,0
1,44,7.63587
1,45,0
1,46,0
1,47,1.72206
1,48,0
1,49,0
1,50,7.49273
1,51,4.81156
1,52,2.15018
1,53,5.47664
1,54,0.350856
1,55,13.1115
1,56,0
1,57,0
1,58,4.28403
1,59,5.37261
1,60,7.93792
1,61,0
1,62,16.2852
1,63,8.98724
1,64,0
1,65,11.3022
1,66,0.802572
1,67,2.60418
1,68,7.2447
1,69,0
1,70,4.46748
1,71,0
1,72,1.99347
1,73,0
1,74,6.90649
1,75,1.91645
1,76,1.51639
1,77,0
1,78,8.2816
1,79,2.59174
1,80,3.93578
1,81,0
1,82,0
1,83,0
1,84,1.98287
1,85,0
1,86,6.89168
1,87,2.97019
1,88,0
1,89,0
1,90,0
1,91,0
1,92,0
1,93,0
1,94,4.49284
1,95,12.0206
1,96,0
1,97,5.62635
1,98,11.1619
1,99,0.0360606
2,0,0
2,1,13.8366
2,2,0
2,3,0
2,4,7.41382
2,5,1.08989
2,6,0.380412
2,7,0
2,8,0
2,9,2.46164
2,10,2.23417
2,11,7.81948
2,12,0
2,13,0.0851054
2,14,14.2872
2,15,0
2,16,0.197371
2,17,0
2,18,0
2,19,0
2,20,12.6569
2,21,0
2,22,0
2,23,0
2,24,0
2,25,0
2,26,0
2,27,0
2,28,1.63935
2,29,12.0803
2,30,0
2,31,0
2,32,0
2,33,6.84418
2,34,0
2,35,10.9632
2,36,0
2,37,9.44506
2,38,0
2,39,0.448504
2,40,0
2,41,11.6466
2,42,0
2,43,2.23298
2,44,3.26218
2,45,0
2,46,0
2,47,16.9011
2,48,0
2,49,0
2,50,0
2,51,4.7126
2,52,6.95683
2,53,2.82012
2,54,0
2,55,9.02077
2,56,1.49786
2,57,7.21475
2,58,0
2,59,12.9919
2,60,1.72096
2,61,0
2,62,9.77194
2,63,4.27612
2,64,3.20804
2,65,8.33817
2,66,0
2,67,2.58604
2,68,0.205782
2,69,0
2,70,10.0554
2,71,4.91314
2,72,4.42977
2,73,0
2,74,1.09825
2,75,3.95388
2,76,1.61333
2,77,0
2,78,4.0353
2,79,4.12605
2,80,5.04128
2,81,0
2,82,4.14642
2,83,2.06501
2,84,6.61528
2,85,6.5834
2,86,13.8179
2,87,4.44054
2,88,1.09019
2,89,12.8944
2,90,0
2,91,0
2,92,0.0891392
2,93,6.98597
2,94,3.85735
2,95,16.1784
2,96,0
2,97,8.31119
2,98,2.42361
2,99,5.71119
3,0,0
3,1,0.739909
3,2,0
3,3,0
3,4,3.22416
3,5,9.05306
3,6,3.26717
3,7,0.168213
3,8,0
3,9,1.12858
3,10,0
3,11,12.5567
3,12,0
3,13,0
3,14,4.14685
3,15,11.1134
3,16,0.0445806
3,17,0.142775
3,18,10.3904
3,19,14.3925
3,20,0.0263755
3,21,0
3,22,3.91347
3,23,2.69939
3,24,0
3,25,0.572651
3,26,8.94293
3,27,0
3,28,7.02935
3,29,0
3,30,0
3,31,2.45079
3,32,0
3,33,0
3,34,12.3287
3,35,0
3,36,8.58535
3,37,4.65721
3,38,3.91213
3,39,0.794505
3,40,0
3,41,1.25933
3,42,2.62396
3,43,3.51535
3,44,11.3928
3,45,10.1216
3,46,0
3,47,0
3,48,0
3,49,11.0835
3,50,2.15754
3,51,2.06431
3,52,3.79936
3,53,11.7061
3,54,10.0956
3,55,0
3,56,0
3,57,5.19841
3,58,6.66903
3,59,5.6483
3,60,9.58155
3,61,0
3,62,7.70265
3,63,0
3,64,0
3,65,4.68572
3,66,3.97957
3,67,0.962358
3,68,15.7499
3,69,0
3,70,0
3,71,0
3,72,0
3,73,1.39454
3,74,0
3,75,0
3,76,12.0593
3,77,0
3,78,6.91442
3,79,2.65447
3,80,0
3,81,11.7277
3,82,10.3535
3,83,4.91811
3,84,0
3,85,0
3,86,3.43212
3,87,0
3,88,3.74765
3,89,0
3,90,0.677167
3,91,11.4078
3,92,0
3,93,6.3364
3,94,4.7461
3,95,0
3,96,0
3,97,4.56612
3,98,0
3,99,0
4,0,0
4,1,7.83204
4,2,7.41382
4,3,3.22416
4,4,0
4,5,15.9016
4,6,7.28788
4,7,0
4,8,3.44518
4,9,0
4,10,0
4,11,2.37275
4,12,0
4,13,2.46373
4,14,14.6297
4,15,0
4,16,1.46613
4,17,0
4,18,1.49265
4,19,0
4,20,15.3867
4,21,0
4,22,0
4,23,0
4,24,1.23707
4,25,0.986302
4,26,0
4,27,0
4,28,0
4,29,0
4,30,4.03387
4,31,0
4,32,0
4,33,0
4,34,3.52106
4,35,8.39127
4,36,0
4,37,2.0428
4,38,3.59546
4,39,0
4,40,0
4,41,12.3283
4,42,2.52489
4,43,7.62815
4,44,7.47114
4,45,0
4,46,0
4,47,0.200457
4,48,0
4,49,0
4,50,0
4,51,1.35254
4,52,0
4,53,5.5694
4,54,0
4,55,8.598
4,56,4.06
4,57,4.14117
4,58,8.62939
4,59,1.91772
4,60,0
4,61,0.00110465
4,62,2.76575
4,63,10.9772
4,64,0
4,65,4.40074
4,66,4.70786
4,67,7.53549
4,68,0
4,69,0
4,70,0
4,71,0
4,72,0
4,73,11.0406
4,74,9.99602
4,75,5.24521
4,76,4.05526
4,77,1.02278
4,78,3.90156
4,79,6.51255
4,80,0
4,81,7.03084
4,82,0.861882
4,83,0
