10,4
0,0,0,0,0
7,21.62828996938963,0,0,0
6,35.54045197692033,30.00407876066551,0,0
2,11.58065391921823,24.85608731638152,27.84873769354212,0
8,2.579260546208327,20.00057659521379,28.15900676173574,22.31604205692131
5,6.487013638090208,18.63122140096088,-5.631840286299959,34.61317467608566
9,12.44138590618284,0.5318790422552817,0.3917385322472387,43.23559869297749
1,-2.907647811685708,27.03265205663734,-10.43607186383992,31.03147797061476
4,-2.82703029627104,11.30540904747298,22.21506977647768,27.64854729998504
3,26.56490849776666,1.286673141068133,30.27979331160767,41.2014403357414
