ATL,0,934,784.3946793981166,542,1557.313218753699,2710.992481936927,754.9663975688463,751,2469.712121085377,2884.312103150762,470.6488268500384
BOS,934,0,1197.011381753577,392,2491.313218753699,3644.992481936926,1688.966397568846,183,3403.712121085377,3818.312103150762,1404.648826850038
ORD,784.3946793981166,1197.011381753577,0,805.011381753577,1294.301837000122,2447.98110018335,1539.361076966963,1014.011381753577,2206.700739331799,2621.300721397184,1155.934289378913
DCA,542,392,805.011381753577,0,2099.313218753699,3252.992481936927,1296.966397568846,209,3011.712121085377,3426.312103150762,1012.648826850038
DEN,1557.313218753699,2491.313218753699,1294.301837000122,2099.313218753699,0,1153.679263183228,1959.899530669441,2308.313218753699,1141.924598263155,1326.998884397062,1086.664391903661
LAX,2710.992481936927,3644.992481936926,2447.98110018335,3252.992481936927,1153.679263183228,0,3113.578793852668,3461.992481936927,1408.113643431105,472.2039895221858,2240.343655086888
MIA,754.9663975688463,1688.966397568846,1539.361076966963,1296.966397568846,1959.899530669441,3113.578793852668,0,1505.966397568846,2872.298433001118,3286.898415066503,873.2351387657798
JFK,751,183,1014.011381753577,209,2308.313218753699,3461.992481936927,1505.966397568846,0,3220.712121085377,3635.312103150762,1221.648826850038
SEA,2469.712121085377,3403.712121085377,2206.700739331799,3011.712121085377,1141.924598263155,1408.113643431105,2872.298433001118,3220.712121085377,0,935.909653908919,2219.252801729985
SFO,2884.312103150762,3818.312103150762,2621.300721397184,3426.312103150762,1326.998884397062,472.2039895221858,3286.898415066503,3635.312103150762,935.909653908919,0,2413.663276300723
MSY,470.6488268500384,1404.648826850038,1155.934289378913,1012.648826850038,1086.664391903661,2240.343655086888,873.2351387657798,1221.648826850038,2219.252801729985,2413.663276300723,0
